EventNum,PageNum,DialogueNum,Name,Dialogue,Animation,SelectEvent,PassToPage,Quest
6,1,116,player,비사야-! 날개 찾아왔어-!,,,,
6,2,117,비사,헉!!!!! 내 날개잖아!!! 세상에!!! 고마워!!!,happy,,,
6,3,118,비사,…,,,,
6,4,119,비사,…?!,,,,
6,5,120,비사,…응? 그런데 한 쪽 밖에 없잖아?! 이게 뭐야!! ,angry,20,,
6,6,121,player,이게…!,,,123,
6,7,122,player,미안해… 한 쪽 밖에 찾지 못했어 ,,,,
6,8,123,비사,으앙- 두 쪽이 있어야 제 힘을 낼 수 있단 말이야-,,,,
6,9,124,스미스,"아하하, 비사야 진정해~ 네 날개를 한 쪽이라도 찾은 게 어디야",happy,,,
6,10,125,player,(맞는 말이다. 스미스와는 말이 잘 통할 것 같다.),,,,
6,11,126,스미스,"안녕, player! 나는 스미스야. 비사한테 들었어~ 네가 비사를 도와주고 있다며?",,,,
6,12,127,스미스,공부하느라 바쁠텐데 정말 고마워~ 비사가 힘을 잃으면 우리도 곤란하거든~,,21,,
6,13,128,스미스,자기 시간을 남을 위해 쓰는 게 얼마나 어려운 건데~ 그렇게 말하지 않아도 돼,,,130,
6,14,129,스미스,뭐?! 아하하! 비사가 또 제멋대로 너에게 부탁했나보구나? 그래도 무시하지 않고 도와줘서 정말 고마워,,,,
6,15,130,player,(스미스와 대화하니 힐링되는구나…),,22,,
6,16,131,스미스,"나는 보통 학교를 구석구석 점검하고 다니니까, 돌아다니다보면 어디서든지 만날 수 있을 거야!",,,,
6,17,132,스미스,오늘도 올해 축제 공연에서 쓸 음향 장비가 잘 있는지 점검하러 왔다가 비사를 만난거야~,,,,
6,18,133,스미스,"비사는 데이먼을 찾고 있다고 했는데, 날개를 찾은 걸 보니 데이먼을 만난 거야?",,,,
6,19,134,player,"그건 아니고, 수잔이 떠다니는 이 날개를 잡으려고 하고 있길래 내가 가져온 거야",,,,
6,20,135,비사,헉! 그럼 분명 남은 한 쪽 날개는 데이먼에게 있을 거야,,,,
6,21,136,비사,내 날개를 가져간 것도 모자라 일부러 잃어버리기까지 하다니… 용서 못 해!,,,,
6,22,137,스미스,데이먼이 일부러 그러진 않았을 거야… 데이먼을 만나면 잘 이야기 해 봐,,,,
6,23,138,스미스,어쨌거나 내가 데이먼을 봤어! 동산관 쪽으로 가는 것 같던데?,,,,
6,24,139,비사,"그거다! player, 얼른 동산관으로 가자!",,,,6
6,25,140,,비사와 함께 데이먼을 찾아 동산관으로 가자,,,,
6,,141,,,,,,
7,0,142,player,잡았다 데이먼!!!,,,,
7,1,143,비사,뭐? 데이먼?!,,,,
7,2,144,비사,…에이… 얘는 데이먼이 아니라 미티라고!,,,,
7,3,145,미티,뭐야? 넌 누구야? 데이먼이라면…,,,,
7,4,146,미티,잠깐! 너 도서관에 가는 거야?,,23,,
7,5,147,미티,도서관에 가는 게 아니라면… 국제 미술관에 전시를 보러 온 거지?,,24,,
7,6,148,미티,"뭐야, 그러면 여긴 왜 온 거야?",,,,
7,7,149,player,데이먼을 찾으러 왔어. 스미스가 여기로 데이먼이 오는 걸 봤다고 하던데?,,,,
7,8,150,미티,"아하, 그 염소? 그 염소라면 이 쪽이 아니라 저~기 학식당 쪽으로 갔어",,,,
7,9,151,미티,"뭔가 커다랗고 복슬한 걸 들고 여기로 숨으라고 한 걸, 소란스러워질까 내가 쫓아냈지",,,,
7,10,152,미티,여기 초암 도서실은 너네들 장난하라고 있는 곳이 아니라고! 자유로운 학습을 지원하려고 만든 곳이거든!,,,,
7,11,153,미티,그리고 전시실도 마찬가지야. 너도! 허튼 짓 하지말고 초암 도서실로 들어가서 공부해!,,25,,
7,12,154,미티,흥!,,,,
7,13,155,비사,얼른 가자! 얼른 얼른! 잘 있어 미티!,,,,
7,14,156,,데이먼을 찾으러 학식당으로 가자,,,,7
7,,157,,,,,,
8,0,158,player,데이먼~~! 데이먼!!!,,,,
8,1,159,데이먼,?!,frustrated,,,
8,2,160,,도망치려는 데이먼을 붙잡는다,,,,
8,3,161,player,네가 비사의 날개를 가져간 데이먼이지! 얼른 날개를 돌려 줘!,,,,
8,4,162,player,너 때문에 바빠 죽겠는데 비사에게 붙잡혀서 시달리고 있다고,,,,
8,5,163,데이먼,헉!! 역시 비사가 보냈구나!,,,,
8,6,164,player,대체 왜 날개를 훔쳐 간 거야?,,,,
8,7,165,데이먼,그게… 이건 다 사정이 있어서 그런 거라고!,crying,,,
8,8,166,데이먼,비사가 오랜만에 같이 놀자고 해서 숨바꼭질을 하는데… 내가 한참을 숨어 있어도 찾으러 오질 않아서 봤더니…,,,,
8,9,167,데이먼,그 자식! 나는 까맣게 잊고 낮잠을 자잖아!,angry,,,
8,10,168,데이먼,너무 짜증이 나서 나도 그냥 장난으로… 날개를 가져온 거였어… ,,,,
8,11,169,player,…응?,,,,
8,12,170,데이먼,정말 훔치려고 했던 건 아니야!,crying,,,
8,13,171,player,그... 그랬구나… (비사 이 자식!),,,,
8,14,172,player,… 그래도 날개가 없어져서 비사가 많이 곤란해 하고 있어. 날개를 돌려 줄래?,,,,
8,15,173,데이먼,나도 그러고 싶지만… 훌쩍… 사실 내가 날개 한 쪽을 놓쳐 버려서 나한텐 오른쪽 날개 밖에 없는걸…,,,,
8,16,174,데이먼,그래서 나머지 한 쪽을 찾아서 같이 돌려주려고 했었어… 정말이야… 훌쩍,,,,
8,17,175,player,"역시 네가 놓쳤던 거구나? 걱정 마, 다른 날개는 이미 내가 찾았으니까",,,,
8,18,176,데이먼,정말?! 훌쩍… 다행이야… 휴우… 여기 내가 가져온 날개야. 비사에겐 미안하다고 전해 줄래?,,,,
8,19,177,데이먼,그리고… 다음 번엔 숨바꼭질 하다가 잠들지 말아달라고도… ,,,,
8,20,178,데이먼,으흑… 갑자기 긴장이 풀리니까 너무 배고프다… 나는 여기서 밥을 좀 먹어야겠어,,,,
8,21,179,player,(네가 뭘 했다고…?) 그래… 알겠어. 다음부턴 제발 둘 다 사이좋게 지내길 바라,,,,
8,22,180,데이먼,알겠어… 그리고 찾아와줘서 고마워. 우리 다음에 만나자~ (꼬르륵),,,,
8,23,181,,비사를 찾아 나머지 날개를 전해주자,,,,8
8,,182,,,,,,
9,0,183,비사,player! 왔구나! 혹시 데이먼을 찾았어? 응? 날개를 찾은 거야?,,26,,
9,1,184,비사,우와~~~ 내 날개! 이제 겨우 찾았다! 역시 데이먼이 그랬을 줄 알았어!,angry,27,,
9,2,185,,(player은 데이먼의 이야기를 말해주었다),,,,
9,3,186,비사,헉! 맞다… 그랬었지! 어떡하지? 갑자기 데이먼에게 미안한데…,,,,
9,4,187,비사,끄응… 데이먼에게 가서 사과 해야겠어. 나는 평소에 데이먼이 내 날개를 부러워하던 것만 생각나서…,sad,,,
9,5,188,player,좋은 생각이야,,,,
9,6,189,비사,"어쨌거나 player, 내 날개를 찾는 걸 도와줘서 정말 고마워",,,,
9,7,190,비사,내가 무리하게 부탁한 거긴 하지만… 많은 친구들을 만났지?,,,,
9,8,191,player,(이 자식… 눈치가 없는 게 아니었어?!),,,,
9,9,192,비사,노. 노려보지는 말고…,,,,
9,10,193,비사,"어흠, 혹시나 캠퍼스에 대해서 궁금한 점이 있거나 도움이 필요할 때가 있다면 나나 친구들을 찾아줘",,,,
9,11,194,비사,너는 내 날개를 찾아준 은인이니까 언제든지 도와줄게-!,,,,
9,12,195,player,"그래, 고마워… (뭔가 당한 기분이다)",,,,
9,13,196,비사,그. 그러면~ 우리 다음에 또 만나자! 다음엔 내 날개로 멋지게 나는 모습을 보여줄테니까…~,,,,
9,14,197,player,"(귀여운 얼굴만 아니었다면…) 알겠어, 다음에 꼭 도와줘야 한다?",,,,
9,15,198,비사,"당연하지! 언제든지 도와줄게! 그리고 아니더라도, 내가 보고싶을 때에는 언제나 나를 찾아와줘",,,,
9,16,199,,<비사의 날개> 퀘스트 종료,,,,
9,,,,,,,,
End,,,,,,,,
